,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
673,Bake Affaire,YN Road,"Fast Food, Bakery",350,4.2
674,NH3 Kitchen,Rau,"Cafe, North Indian",650,4
675,Lal Balti Ki Kachori,Jail Road,Street Food,50,4
676,Make My Sandwich,Vijay Nagar,"Sandwich, Fast Food",300,3.9
677,Ansh Restaurant,South Tukoganj,"North Indian, Chinese, Mughlai",450,3.9
678,Riddhi Siddhi,Vijay Nagar,"North Indian, South Indian, Chinese, Fast Food",600,3.3
679,Chill Baby,Vijay Nagar,"Chinese, Fast Food",300,3.7
680,Sagar Gaire,Vijay Nagar,"South Indian, Fast Food",400,3.9
681,Ramesh Masala Dosa,"56 Dukan, New Palasia",South Indian,150,4
682,Indian Coffee House,"BCM Heights, Vijay Nagar","South Indian, North Indian, Chinese, Fast Food",450,3.9
683,Paneer King,Jail Road,"North Indian, Chinese",400,4
684,Ashirwad Bhojnalaya,"Mangal City Mall, Vijay Nagar",North Indian,200,3.6
685,Chick N Serve,Manik Bagh Road,"Lebanese, North Indian, Chinese",800,3.9
686,Chef Lucky's Paratha On Wheels,Old Palasia,"North Indian, Fast Food, Biryani",450,4.3
687,Mr. Eggzotic,Old Palasia,"Fast Food, North Indian, Street Food",350,3.3
688,Chai Kaapi,Vijay Nagar,"Fast Food, Beverages, Tea",350,4.1
689,Udan Khatola,Vijay Nagar,"Fast Food, Beverages",350,4.1
690,Dev's Bakery,Bhawar Kuan,"Bakery, Fast Food",300,2.8
691,Rajkamal Dal Bafle,Sarwate Bus Stand,North Indian,300,3.9
692,Swaad Delhi Da,Bhawar Kuan,"Rolls, North Indian",350,3.9
693,Shawarma Grill & Momo Station,Manik Bagh Road,"Lebanese, Momos, Fast Food",300,4
694,Drunken Monkey,Vijay Nagar,"Beverages, Healthy Food, Fast Food",300,4.3
695,Veg Bites,Vijay Nagar,"North Indian, Chinese, Fast Food",450,3.6
696,Bablu Sandwich,Manik Bagh Road,Sandwich,300,4.1
697,Drool- The Highway Shack,By Pass Road (North),"North Indian, Pizza, Chinese, Fast Food, Beverages",600,4
698,Babluji Punjabi Foods & Cafe,Vijay Nagar,"North Indian, Street Food",400,3.9
699,Upvaas,Sapna Sangeeta,"Fast Food, Beverages",250,3.8
700,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
701,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
702,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
703,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
704,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
705,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
706,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
707,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
708,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
709,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
710,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
711,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
712,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
713,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
714,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
715,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
716,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
717,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
718,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
719,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
720,Guru Kripa,Rau,North Indian,300,3.9
721,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
722,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
723,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
724,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
725,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
726,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
727,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
728,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
729,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
730,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
731,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
732,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
733,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
734,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
735,Via Indore,New Palasia,North Indian,550,3.6
736,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
737,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
738,Fagun Restaurant,Vijay Nagar,"North Indian, Continental, Chinese",1200,4.3
739,Goldy Di Hatti,"BCM Heights, Vijay Nagar","North Indian, Chinese, Biryani",400,3.9
740,Rangla Punjab The Dhaba,Old Palasia,"North Indian, Chinese",600,3.9
741,Hill's View - Papaya Tree Hotel,Papaya Tree Hotel,"North Indian, Chinese, Italian",1300,4.4
742,Shosha Cafebar,Vijay Nagar,"North Indian, Mexican, Italian",1500,4
743,Vidorra,Old Palasia,"North Indian, Chinese",1500,4.1
744,Nom! Nom! Chinese,Vijay Nagar,"Chinese, Seafood",600,4.1
745,Cream Centre,Vijay Nagar,"North Indian, Italian, Mexican",900,3.9
746,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar","Finger Food, North Indian",1400,4.4
747,Lotus Cafe & Restaurant,Rajendra Nagar,"Cafe, North Indian",550,3.3
748,Pizza Hut,Old Palasia,"Pizza, Fast Food, Italian",700,3.3
